price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement
1508292.2962298538,5,3.0,2359,8976,2,2103,256
3009021.849389517,3,5.0,8219,7546,4,3325,4894
2609494.683358409,7,4.0,1416,11271,2,6230,0
2730088.107791294,5,3.0,7409,1009,2,3380,4029
2453512.660423101,1,1.0,7764,2727,2,1498,6266
3456136.5522650243,7,3.0,7181,8542,2,7926,0
1353830.594907354,2,2.0,3162,3778,3,1950,1212
2595247.5894893706,4,1.0,5192,12612,3,3488,1704
3516519.1307355296,1,3.0,9929,7732,2,7053,2876
1655797.9662846178,4,5.0,1835,12419,1,1604,231
3095246.8493997846,6,4.0,5550,4098,1,7149,0
1129219.2117877866,2,2.0,1261,5044,4,1821,0
1827018.6921990241,2,3.0,2631,2176,3,6673,0
2481934.434258257,1,5.0,5314,14596,4,1339,3975
3469346.3526714332,2,4.0,9640,5723,4,4816,4824
1664166.1094101786,5,4.0,801,2273,3,4966,0
3340313.331756637,2,5.0,8240,8054,2,5869,2371
1757454.333353329,4,4.0,4194,3476,1,2278,1916
2620415.283015385,4,2.0,3201,14868,4,6597,0
3569492.1534980824,7,2.0,9305,14597,1,523,8782
3482688.299153668,4,5.0,6714,12769,2,6972,0
2528613.9334081984,7,3.0,6144,3341,4,3911,2233
3045407.415017235,4,1.0,6020,5539,1,7448,0
1839131.3723260413,5,3.0,1168,13575,3,3846,0
1657717.8590429858,7,4.0,2628,11545,4,760,1868
2805398.727810093,3,5.0,7238,4142,2,4503,2735
1264879.2780929436,6,2.0,717,3210,4,3275,0
3896404.1220305627,1,3.0,9440,14792,4,5096,4344
2940593.3271855824,4,5.0,4720,11827,1,6570,0
2865803.764217221,2,2.0,8892,4414,1,1063,7829
2614747.349261989,4,1.0,3121,8684,3,7573,0
2306820.7961934507,2,5.0,5639,8274,2,1890,3749
897850.0342582349,6,3.0,1221,3027,3,1659,0
3482624.5316248834,6,3.0,9643,5726,1,3809,5834
2203719.426538077,6,3.0,2381,5894,2,5623,0
1184907.911897131,2,1.0,1932,2999,3,2271,0
2208341.611588631,4,5.0,5681,5704,4,2540,3141
2525751.478956229,6,2.0,2820,6617,3,7001,0
3214483.2951648887,5,3.0,7450,10216,2,3259,4191
2930838.6994997323,7,2.0,7677,2621,4,2620,5057
3318613.292004442,2,3.0,9390,5571,1,5660,3730
1178731.0164707135,2,4.0,1121,4011,4,3043,0
2097883.060652594,4,4.0,959,7208,2,7068,0
3674599.6822133446,2,5.0,9776,10102,4,6378,3398
3023961.713536333,2,3.0,7725,8652,3,4690,3035
3189422.155831468,6,4.0,8991,1614,3,4655,4336
3487701.9484846056,4,3.0,9967,5080,4,1958,8009
3768370.9232057584,6,4.0,8641,13709,2,4379,4262
2245886.1161261993,7,4.0,5875,2004,2,1978,3897
1981149.9540648954,7,2.0,3952,8703,2,524,3428
3418545.691555476,6,2.0,7812,4222,2,7616,196
2860317.5329691293,7,2.0,6425,7142,3,3256,3169
1879658.0393462295,4,3.0,2321,10207,2,3376,0
2735587.052511503,1,5.0,6931,12678,2,1413,5518
1786118.9237231992,6,2.0,1488,9198,4,3386,0
3678102.8115114323,5,1.0,8905,14260,4,4147,4758
2067277.2335424826,5,1.0,1031,8683,3,6057,0
2314769.0502998405,2,4.0,3417,8930,3,4957,0
2905814.289942295,7,2.0,7385,4765,3,3906,3479
2489165.715436584,5,2.0,4119,14307,2,4587,0
3194107.331312459,2,2.0,7064,12729,4,5796,1268
2576816.395476604,1,4.0,3560,13391,4,5408,0
2144706.0986254485,4,3.0,3024,5050,2,6321,0
1784612.7812528436,4,4.0,1189,3511,1,5588,0
999038.9039246899,4,2.0,1600,4635,2,1575,25
3476619.225133876,5,3.0,8810,6713,1,3602,5208
1832476.0033136324,1,1.0,5801,3895,2,683,5118
4194019.475954888,5,1.0,9197,14871,3,6760,2437
3577661.9820427634,7,3.0,8317,12992,1,3644,4673
1757194.9179132092,5,2.0,2700,4905,1,3718,0
3249658.413213326,1,3.0,9733,11605,3,623,9110
1254698.7576907317,1,1.0,996,2916,1,4409,0
2076662.823126238,7,1.0,4674,5277,4,2217,2457
3518961.4485642603,1,4.0,8750,11482,2,6231,2519
2490844.0453666765,1,3.0,6030,13507,1,1491,4539
2987430.828437,4,4.0,7469,14519,3,1966,5503
1742644.5518031484,7,4.0,2153,11083,2,1329,824
3136716.7978676404,3,3.0,7746,7572,1,6821,925
1053843.1027979364,3,4.0,743,7951,2,1177,0
1987645.8183807863,1,3.0,2755,5130,1,5629,0
3097806.91779864,3,2.0,7499,4863,4,5782,1717
2589027.042242564,3,2.0,7243,1674,3,4129,3114
2324614.7047401574,1,3.0,3192,12101,4,5387,0
2687863.3294542516,3,2.0,6573,14732,4,1109,5464
3627232.1913948706,5,2.0,8730,14514,1,3174,5556
2096737.8553868034,2,2.0,3747,2900,4,5948,0
2894859.520902474,7,1.0,7121,8329,3,3534,3587
2132638.573680186,2,1.0,2115,8909,2,5973,0
902455.6898299095,1,1.0,519,13134,2,1218,0
782149.7615389702,4,1.0,720,5503,2,590,130
3123606.9361292054,7,2.0,4271,14660,1,6990,0
2676165.225656499,1,3.0,7821,5099,3,3186,4635
3234619.3849244616,4,2.0,7106,5456,1,7059,47
2697321.1078975135,2,5.0,8076,7065,4,736,7340
3393233.614849033,1,4.0,8942,4037,3,6669,2273
3130671.393135587,7,3.0,8328,1589,4,3743,4585
1915726.095326004,7,4.0,1006,6477,3,4228,0
2856816.3946888507,6,2.0,5241,6747,2,6531,0
2841887.318799992,5,1.0,9560,2889,3,982,8578
1914695.2123634317,3,5.0,5087,3382,1,2189,2898
3184523.404297098,4,2.0,6938,12554,2,6489,449
2989504.408452226,6,5.0,7100,3332,3,5931,1169
3071068.018811332,3,3.0,9861,2059,1,2769,7092
2023924.1135464306,3,2.0,5857,4395,1,2013,3844
1620285.3309571962,1,3.0,1239,8630,4,3791,0
2744607.3627291056,3,3.0,9115,1394,2,1755,7360
1945473.9007916448,5,1.0,3555,1566,3,5251,0
2714764.379512006,7,2.0,4887,2072,3,7925,0
2152877.7561727758,6,4.0,2703,3510,2,5575,0
2881677.7631245675,3,3.0,4422,8480,4,7569,0
1398802.3603214312,1,2.0,2457,7100,4,2876,0
2633712.116898492,5,2.0,5826,3402,2,6058,0
1731936.6866289966,2,4.0,2289,7486,2,3762,0
3059307.438503953,7,3.0,6901,3102,2,6502,399
1683215.7106070109,7,3.0,1084,12575,1,1843,0
3806055.7501756097,6,5.0,6678,14129,2,7732,0
2345819.5618634066,7,2.0,3700,13547,4,1166,2534
2655159.8146441537,3,3.0,1842,14164,3,6889,0
2061893.2915522885,1,4.0,4690,8064,3,3708,982
4052354.9497264116,7,4.0,9900,14953,4,3527,6373
2580975.3397888923,7,2.0,5285,8141,3,4430,855
3563768.5984916505,2,2.0,9857,10106,4,4762,5095
2293615.3489273796,2,4.0,5256,10303,1,4758,498
3474622.383388243,4,2.0,6525,14191,3,7316,0
3130866.6649794364,5,5.0,7955,6439,1,3968,3987
1189440.6218464177,3,2.0,1562,4461,3,1345,217
3576241.0933385585,7,2.0,9217,4923,2,4008,5209
2036732.4563153044,7,1.0,5002,3317,1,1524,3478
2238568.0779995644,1,4.0,5481,6991,1,2725,2756
2614686.502927953,4,5.0,7112,1965,1,4514,2598
2847213.2804669575,5,4.0,5468,12723,4,4052,1416
2892996.5626136735,4,5.0,6566,10341,3,3561,3005
2415677.466884709,6,2.0,5900,7982,2,1370,4530
2239806.7707691663,5,1.0,6184,3232,4,2791,3393
2983311.5171948946,7,4.0,7338,9556,3,1191,6147
2984265.789400675,7,4.0,7853,4613,1,4373,3480
3377949.3411166854,5,4.0,2487,14007,4,7905,0
2988106.7148900675,7,4.0,4567,2031,2,7784,0
2434072.548999578,3,2.0,5568,9845,1,1871,3697
2083412.4666002654,5,2.0,4604,4795,4,4602,2
3374829.066470312,4,5.0,9377,4867,1,5793,3584
3046927.1096865796,5,2.0,8306,8581,3,1639,6667
3182154.9506195933,7,3.0,7154,5086,3,6898,256
2343422.5954208346,3,4.0,4234,4203,2,5067,0
3083526.947860984,3,2.0,7304,14667,3,2114,5190
2014125.7893861183,6,4.0,1741,5418,3,5131,0
2033038.3267529348,4,1.0,4000,6001,3,3150,850
2788962.666693722,2,4.0,6230,3149,1,7194,0
2590199.6384250843,2,3.0,6030,5890,1,5553,477
2232712.1835895027,5,3.0,3761,10681,3,2742,1019
3461550.226977314,6,3.0,7764,14740,1,4413,3351
2224019.418507491,1,2.0,4343,7218,3,4799,0
3103502.7943067537,5,3.0,5325,14411,2,5788,0
2372026.8886064785,6,3.0,2481,5839,4,6800,0
2627355.4095446067,4,3.0,1147,13066,4,6331,0
2080653.0555822619,4,2.0,4423,7379,3,3517,906
1454651.8299206898,4,1.0,2482,6388,2,3332,0
2100541.2794952923,4,2.0,5755,5983,3,1404,4351
1226977.0439365897,4,4.0,2519,4638,4,989,1530
3586819.350326868,6,1.0,9514,10469,2,3053,6461
2622251.7771979077,6,4.0,5174,5822,1,4354,820
3652419.915525282,3,4.0,8571,14098,4,4599,3972
3300186.270129691,2,4.0,7480,5424,4,7304,176
2575361.0954903737,7,4.0,3332,12562,3,4154,0
2908001.0368079883,4,1.0,9712,6927,2,1403,8309
3419346.9071752913,1,4.0,9773,3417,2,5153,4620
2866601.642826787,7,3.0,7602,4742,1,3271,4331
2843520.425473953,6,5.0,6491,1258,2,6266,225
2359812.3887056075,1,5.0,4708,5472,3,5729,0
2235463.7469636663,1,1.0,4175,1144,2,5817,0
1914206.844677861,1,3.0,2279,7223,2,4988,0
2184980.3118165964,3,3.0,5196,4110,2,3521,1675
2906025.4042727347,6,4.0,5037,3753,1,7075,0
2560938.660503577,1,2.0,8919,1708,1,2647,6272
1615945.7636275946,4,2.0,1373,9437,4,2599,0
2636139.542391846,5,3.0,5266,5428,4,6032,0
1765604.958203301,1,3.0,3928,10803,1,1526,2402
3653053.09617542,3,5.0,9983,8570,2,3168,6815
3012567.6776062404,7,4.0,6104,3812,1,7826,0
4003393.8910786775,6,3.0,9719,13565,1,3915,5804
1935851.4749602738,3,1.0,4049,7119,3,3634,415
3114035.9345134287,1,2.0,8812,8175,2,3723,5089
3652279.5958420187,6,3.0,9433,10579,1,5795,3638
2731942.045158328,5,4.0,4381,12715,3,4695,0
3681962.648725704,1,3.0,9934,10926,4,4374,5560
2390182.2267516633,3,3.0,5289,1251,3,6505,0
2576656.1840453814,2,5.0,7945,3943,2,2060,5885
2319308.1135787126,4,5.0,4852,3005,4,4779,73
3136218.2777143377,7,2.0,7971,7161,4,2906,5065
3142818.342772021,3,1.0,7559,4313,2,7914,0
2782524.6688861805,6,2.0,6149,2276,4,7176,0
2663228.6589187053,1,4.0,5508,10219,4,5250,258
3556774.0100221992,4,5.0,7817,10588,3,6588,1229
3280239.0099632307,1,1.0,9285,2448,4,5750,3535
2166405.1572144493,6,1.0,1533,7892,2,6508,0
701766.7872422234,1,5.0,711,2202,4,1533,0
2826261.3169098995,2,4.0,6557,9203,3,2725,3832
2362904.298094679,4,5.0,6008,6999,1,1218,4790
2575522.935807303,4,3.0,5517,10508,4,3056,2461
3539845.877548845,6,3.0,8622,9961,2,3697,4925
3989087.690204584,7,2.0,8625,11498,1,6467,2158
2903964.644927156,2,1.0,6979,13716,4,4096,2883
3435133.411525431,3,3.0,9613,7740,2,1567,8046
2089935.3339210395,1,2.0,4562,7438,3,4319,243
3446384.9496028214,5,1.0,7848,10548,1,6306,1542
3357356.480497846,1,5.0,8442,4183,3,7917,525
3331881.4013683167,1,2.0,8445,2973,3,7722,723
2059295.8110243296,3,4.0,3738,11445,3,1467,2271
1970904.1119096053,1,2.0,1993,3269,2,6915,0
2631508.1635862333,2,4.0,2077,14841,2,7203,0
1362760.3277933355,2,1.0,2097,10228,3,1814,283
1709309.2879549954,4,4.0,2928,6389,3,3622,0
1425861.4493606007,6,1.0,812,7183,2,2479,0
2735555.7354820236,7,3.0,7186,3552,4,3393,3793
2851204.9275387404,5,4.0,4575,11840,1,5966,0
1475066.4537856276,1,2.0,503,10946,2,2975,0
3103956.5523964115,1,2.0,7561,12478,4,3491,4070
3994469.4744071523,3,4.0,9577,13230,2,6004,3573
3058686.184665632,6,5.0,5718,6423,2,7397,0
1062619.8187237736,2,1.0,691,5617,1,2398,0
2331068.4225607133,5,2.0,2880,12992,2,4945,0
1674085.3998079668,4,1.0,1735,10336,4,2838,0
3059244.890461201,2,2.0,8262,8477,2,5106,3156
3123166.9999955758,6,5.0,8431,2698,1,2898,5533
2169154.993547947,7,3.0,2903,14975,2,2047,856
2545272.850211458,4,3.0,6521,3352,3,4187,2334
3587018.569551311,7,5.0,7920,6578,1,7190,730
2936003.421194718,3,3.0,7234,7739,2,4821,2413
3058100.6696645613,3,4.0,8953,7705,3,1178,7775
1929429.855324782,1,2.0,2869,7555,3,4211,0
2265913.174049963,7,3.0,2967,9411,1,3923,0
2170948.615064722,6,3.0,4927,2632,1,3263,1664
1567598.6515003545,5,1.0,1759,7467,2,2976,0
1536454.174987957,4,2.0,2554,9802,4,1295,1259
1114489.4717222045,2,2.0,1033,8557,1,1222,0
2231046.364516591,6,1.0,2619,5229,2,6539,0
3129398.4495187863,6,3.0,2023,14115,3,7559,0
1734509.196173682,3,3.0,3957,5944,3,969,2988
2134333.3754459075,7,3.0,3089,13434,2,1022,2067
2001232.3242531368,1,2.0,4919,4184,1,3855,1064
2563866.3304441706,1,4.0,7592,7076,2,1243,6349
2728935.265569666,4,2.0,7244,9624,2,519,6725
2136564.718501554,3,3.0,2440,7530,1,6374,0
2864587.3871427225,6,4.0,4236,4437,4,7981,0
1712542.4076009877,5,2.0,572,4105,4,5403,0
2431407.045928936,3,4.0,3387,9253,4,6394,0
3050753.553821064,4,4.0,5857,5182,2,7497,0
3494838.3968331236,4,1.0,9679,1890,1,6040,3639
2258166.1228330596,3,1.0,1845,12898,4,6387,0
3842250.374477835,4,5.0,9723,14565,1,3548,6175
2342441.7763825683,3,2.0,2506,6246,4,7056,0
3281143.4548354778,2,4.0,9922,4921,3,2623,7299
3961445.706297024,3,3.0,9102,14473,3,5968,3134
2770764.2629155554,7,2.0,2319,12164,1,7063,0
3013535.8723898507,3,2.0,7294,10531,4,3094,4200
3247988.2076014145,4,3.0,7713,13686,1,3166,4547
1709215.4015589154,7,3.0,3592,3860,1,2185,1407
2363710.276128563,4,4.0,5789,3378,1,3845,1944
2149073.48276974,1,5.0,3091,7395,2,6060,0
3501793.020058049,1,4.0,8083,14320,4,5705,2378
2004850.599554501,7,2.0,3002,14050,4,1094,1908
3584568.263987993,2,5.0,9353,6358,1,7189,2164
3295610.0697410167,1,4.0,9921,3082,3,1980,7941
2472405.0186331593,3,5.0,3592,9969,1,4925,0
3473280.768393084,4,3.0,7561,8783,3,7750,0
2118165.8767982298,1,4.0,2173,6029,4,6140,0
3553193.4973539035,1,3.0,9780,2406,4,7462,2318
2721706.5839842954,2,2.0,6502,12949,1,2063,4439
2898158.167973951,7,5.0,7808,3757,2,721,7087
3718895.043082683,7,1.0,7159,10938,4,7877,0
1171480.17219936,6,2.0,999,8368,4,1959,0
1231707.9422814604,2,5.0,825,8400,4,1523,0
2770829.500941781,3,1.0,6533,4567,2,7181,0
1997628.4632594532,7,5.0,1387,6932,4,4742,0
3781882.0965962987,4,4.0,9687,3124,1,7658,2029
1517982.9184334152,2,1.0,4173,6337,3,1742,2431
3270057.2970129857,1,3.0,8435,7123,4,4439,3996
1769582.9496600463,4,4.0,1428,3421,4,4663,0
1916921.343325668,4,3.0,4903,1052,2,2852,2051
2602735.464057308,1,5.0,5926,6715,3,4621,1305
2998599.010268667,2,4.0,8490,5353,3,2336,6154
1094038.9094747736,1,2.0,1124,11371,2,822,302
2092704.2658761335,6,1.0,4844,2734,1,3176,1668
2737762.5752501027,4,5.0,2871,9034,4,7767,0
2493043.224900197,5,3.0,5199,4466,3,5088,111
3721269.7446246324,5,1.0,8750,13882,3,4589,4161
2362172.552845572,3,4.0,5616,1927,1,4279,1337
3246164.2633469757,7,4.0,6737,5344,1,7305,0
3990592.5353115834,1,4.0,9969,13208,4,5873,4096
3136468.0468252725,1,3.0,9378,7212,2,3537,5841
2992495.227334462,3,4.0,8127,8064,2,2576,5551
2568687.5292698676,3,4.0,5110,13941,1,2430,2680
1407308.7422951986,3,5.0,1032,10638,1,1650,0
2657814.6353469924,4,5.0,4997,3699,3,5810,0
2934748.543272826,6,3.0,4352,14232,1,5571,0
1732273.8836753822,1,4.0,3904,1339,3,4395,0
2654516.614931546,4,5.0,3268,3421,2,7788,0
1447907.8060258713,3,2.0,3155,5980,2,1759,1396
2512105.9431363083,1,1.0,2640,7400,3,7468,0
3256047.3019437287,4,4.0,8224,13138,4,2425,5799
2229383.7975463746,6,2.0,1073,3563,2,7704,0
1467150.1868242125,4,1.0,2065,4339,4,3840,0
1148235.628172702,6,2.0,936,4999,3,1748,0
2164768.4975072914,3,3.0,4089,10572,4,2594,1495
2370727.4638322038,6,2.0,1898,5942,3,6118,0
2557661.2263538274,1,2.0,8191,3355,3,1979,6212
2132158.515360108,3,5.0,3766,13130,1,2366,1400
2883794.2218076643,1,4.0,6908,9793,2,7124,0
3233163.3834253177,5,4.0,3997,14838,2,7347,0
2472309.965428492,2,1.0,5456,10863,3,3924,1532
2548229.8210332766,6,4.0,2474,3779,4,7583,0
3731030.6299881376,2,4.0,9558,6917,1,6051,3507
3814613.002549494,2,4.0,9745,12957,4,4059,5686
2317790.214602948,6,2.0,5910,3538,2,3150,2760
3260324.387797933,3,3.0,8242,9830,4,5089,3153
1802017.7461188347,5,4.0,3034,3685,1,4442,0
2870342.889933813,1,4.0,8073,5075,4,4229,3844
3021351.105071095,4,4.0,8719,5802,2,1641,7078
1288980.4240490224,1,3.0,3717,2374,3,2720,997
2219795.290276308,4,3.0,2835,14529,2,3808,0
2230032.886719729,1,4.0,5176,8175,1,2571,2605
2468618.71307118,6,1.0,6895,6350,3,1609,5286
3122233.427609725,5,4.0,7829,2726,1,6565,1264
1544491.9529984635,4,5.0,2657,9848,2,1070,1587
2444632.596396239,7,4.0,3191,8792,4,6386,0
3059413.9539994025,3,2.0,7041,8980,2,6902,139
1693696.1853729272,1,2.0,3842,6315,4,3638,204
1715210.3406976243,1,4.0,2055,8049,3,3585,0
2087653.632842516,4,5.0,775,7607,4,5715,0
1288519.7450174198,3,3.0,3236,3962,4,956,2280
2273714.911034292,3,3.0,3589,9102,3,4355,0
3556070.4755018824,6,2.0,8078,5913,1,7884,194
3755155.6951655447,7,4.0,8468,14516,3,4280,4188
2434155.5628034095,6,4.0,2672,3875,1,6833,0
1426212.8091243652,6,5.0,652,1579,3,4270,0
1526554.767624661,6,2.0,2104,9351,4,2898,0
2884937.6087896735,6,4.0,7301,4572,2,3720,3581
3395539.347131434,6,3.0,8224,10681,4,5019,3205
2219766.536102982,5,3.0,2326,3895,1,6694,0
3967200.84061569,3,4.0,8938,13120,2,7356,1582
3254234.414558478,6,2.0,6009,11737,4,7752,0
1798315.2729418003,3,2.0,1870,1463,4,5820,0
2570494.5746702277,3,4.0,5822,11581,2,1533,4289
2477253.953262584,2,3.0,5628,9699,4,5532,96
2796143.7759352275,5,1.0,6311,6783,1,5087,1224
2036498.0892122972,6,3.0,2191,10499,3,2815,0
2951692.2905976376,1,3.0,7174,7294,1,6590,584
1618691.8587035704,4,5.0,3890,2021,4,711,3179
2588332.0435504895,7,2.0,2898,11814,2,6117,0
1577673.2433958207,1,4.0,536,3933,2,5043,0
1208163.843901016,5,2.0,2127,3942,2,883,1244
2426775.3860797677,4,2.0,2839,13983,4,4850,0
2788286.0244233212,5,2.0,6660,7356,2,3994,2666
2016094.8727635383,3,5.0,1871,7728,1,4948,0
2036649.9972961613,4,2.0,1176,4393,1,6835,0
3233456.9865436945,3,4.0,5572,12035,4,7866,0
1926064.8697794762,1,3.0,752,1665,1,7924,0
1474081.5667863798,1,5.0,3364,7331,1,513,2851
1889359.3608316728,4,4.0,2116,4643,2,5536,0
1698151.661314967,4,4.0,2731,1767,3,4256,0
3018774.8522868636,6,4.0,6933,14274,1,1380,5553
2599037.915268545,5,4.0,1260,11422,4,7355,0
2250079.0707559036,6,4.0,3786,9575,2,3396,390
3372402.7417230564,5,2.0,6801,13312,1,6176,625
3515531.6034683576,6,1.0,7566,14204,4,6002,1564
2649263.011056017,3,3.0,7334,2337,4,3940,3394
2196969.216238463,4,3.0,892,11277,2,5442,0
3393413.0934297824,1,3.0,9122,5397,4,7541,1581
2200578.033500573,5,3.0,1496,13234,3,5504,0
3007135.0775140473,5,2.0,7648,5059,3,5863,1785
3872039.2268377976,1,4.0,9783,10584,1,6544,3239
1876678.6805442092,6,1.0,1600,3147,3,5775,0
3264445.833055681,5,5.0,8793,2411,2,6395,2398
3944439.8059273507,7,5.0,9584,11898,2,2966,6618
1914215.6560634389,3,5.0,2760,7589,1,4594,0
2107892.2786079044,4,2.0,2680,11007,3,4363,0
2928357.3649115274,1,3.0,5816,5150,4,7674,0
2473963.5368797043,4,5.0,2280,8663,4,6159,0
3054231.5002796724,7,5.0,6933,11823,3,1481,5452
3484554.8074786416,5,4.0,9971,7898,2,2637,7334
1935889.9538111263,5,3.0,4508,3174,2,2244,2264
3478076.747760879,7,3.0,7873,5051,2,7858,15
2300355.903455446,1,4.0,3786,4392,2,6361,0
2795164.1081557185,3,2.0,5017,4467,3,7161,0
2154025.2487766114,2,4.0,3128,13440,1,4461,0
2326223.27799727,1,4.0,1038,10364,3,7019,0
2221914.1504367786,2,4.0,2280,8570,3,5886,0
3377235.3327354747,7,3.0,7105,9417,2,5657,1448
2740281.609500541,6,3.0,2848,14125,2,5045,0
2725015.9567727717,2,5.0,5907,11931,2,1970,3937
3150300.5340642775,3,3.0,7669,2333,1,7699,0
1297731.3792593062,6,4.0,2460,1418,1,2317,143
2195319.5509575186,2,4.0,3591,13802,2,3794,0
3484888.9290530514,7,4.0,7597,5384,2,7443,154
3078644.77699856,6,4.0,4062,11440,3,7830,0
2605100.774816662,7,3.0,5581,6638,3,4213,1368
2363530.4611838423,2,3.0,5401,5968,3,5494,0
1765825.2807129668,7,3.0,2804,11906,2,1172,1632
1803730.168262795,3,1.0,2985,3816,3,4602,0
3242308.396187071,2,2.0,8428,1167,4,7880,548
3263129.9499831586,2,2.0,8675,6009,1,5539,3136
1243317.5391907743,2,5.0,1148,10890,3,1100,48
3390073.575730046,1,2.0,8390,10510,1,6723,1667
2461287.9795291396,1,2.0,4315,4082,3,7562,0
2135694.821125129,1,1.0,6779,3404,1,836,5943
3391849.926144332,3,4.0,9994,11186,2,852,9142
2274090.1529274965,6,1.0,3132,3178,4,6597,0
3060615.8251532367,7,3.0,8403,7459,1,858,7545
1990041.6955316344,5,1.0,1768,5699,3,6090,0
1893116.8069403402,2,4.0,2273,4385,2,5372,0
3604530.599541376,7,5.0,7520,7629,4,7990,0
1367605.126274613,2,5.0,4127,1110,2,675,3452
1152554.3544790272,3,3.0,1666,6409,2,1686,0
2124744.979310194,2,4.0,3048,9438,1,4401,0
2507925.619876099,1,3.0,2050,13699,4,6539,0
2237712.4741278505,5,2.0,2640,11812,2,4409,0
2817844.446209052,4,3.0,6002,13737,3,2246,3756
3016219.2051804475,2,1.0,6508,6741,2,7403,0
3299991.210933603,7,4.0,6922,11177,3,5185,1737
2082552.1346387635,1,2.0,6346,2444,2,1782,4564
2277506.034529031,4,3.0,4020,10671,4,4089,0
3799572.8772068797,5,3.0,8428,11983,4,6596,1832
3317711.8521135384,4,3.0,7625,5220,4,7063,562
3584663.816781131,1,4.0,9312,6834,1,6729,2583
2747909.1592561877,6,4.0,5907,12180,2,3368,2539
1984521.6270560143,6,4.0,3023,3307,4,4727,0
1992706.6450369162,4,3.0,5267,1534,3,2045,3222
3216641.869168795,3,1.0,8862,9271,3,5331,3531
3020708.507118664,7,3.0,6144,5367,2,6642,0
2689535.474448634,7,5.0,2919,6975,4,6631,0
2778384.768879146,4,5.0,6577,4636,1,2596,3981
3442527.9579983316,2,4.0,8177,14729,4,3486,4691
1382700.8657618782,2,2.0,1438,9593,2,2541,0
3058467.3610276035,7,1.0,5430,4124,1,7607,0
3687310.0469826777,7,3.0,6852,13559,3,7680,0
3076726.8781583,6,4.0,7443,1895,4,6470,973
3323684.9480242254,3,4.0,8111,7371,4,5985,2126
3394272.05117728,1,5.0,8564,7077,3,5994,2570
1768171.431750409,2,3.0,3677,4763,2,4254,0
2989500.6203618953,7,2.0,5851,13658,1,3305,2546
2457526.1572021395,6,1.0,5600,4896,3,4953,647
2702093.679955852,5,1.0,4296,3759,1,6819,0
2515238.8212803956,6,3.0,3384,3239,2,7885,0
2341214.0633989507,2,2.0,1772,10171,1,7313,0
2099521.075616511,2,4.0,6907,4094,1,1310,5597
3105435.1329783136,6,4.0,2252,10767,4,7314,0
3269859.133479365,1,2.0,8170,13173,3,5414,2756
